"line","timestamp","sensor","ppm","secondary_unit","secondary_value"
"3206","","CO_HD","0.00","mg/m3","0.00"
"3207","","NO2_HD","0.50","ug/m3","0.94"
"3208","","O3_HD","0.2000","ug/m3","392.64"
"3209","","SO2_HD","0.10","ug/m3","0.26"
"3240","","CO_HD","0.00","mg/m3","0.00"
"3241","","NO2_HD","0.60","ug/m3","1.13"
"3242","","O3_HD","0.2000","ug/m3","392.64"
"3243","","SO2_HD","0.00","ug/m3","0.00"
"3259","","CO_HD","0.00","mg/m3","0.00"
"3260","","NO2_HD","0.50","ug/m3","0.94"
"3261","","O3_HD","0.1000","ug/m3","196.32"
"3262","","SO2_HD","0.00","ug/m3","0.00"
"3289","","CO_HD","0.00","mg/m3","0.00"
"3290","","NO2_HD","0.60","ug/m3","1.13"
"3291","","O3_HD","0.2000","ug/m3","392.64"
"3292","","SO2_HD","0.00","ug/m3","0.00"
